id,name,text,trans
4901021460010,雛菜,"ね、刑事さんもういいよ～？
味方のふりするの～","저기, 형사 씨 이제 됐잖아~?
아군인 척 하는 거~"
0000000000000,男,え……！,뭐……!
4901021460020,雛菜,"雛菜も騙されてるふりするの
疲れちゃった～","히나나도 속아넘어간 척 하는 거
이제 지쳤어~"
0000000000000,男,"き、気が付いてたのか……！
──いや、それなら","눈, 눈치챘었던 건가……!
ー아냐, 그럼"
0000000000000,男,"大人しく、捕まって罪を償ってもらうぞ……！
そしたら、俺たちまた──……","얌전히, 체포되서 죄의 심판을 받게 하겠어……!
그렇게 되면, 우린 아직ー……"
4901021460030,雛菜,"あは～
でも、『嘘つきは泥棒のはじまり』でしょ～？","아하~
그치만, 『거짓말은 도둑질의 시작』이잖아~?"
4901021460040,雛菜,"刑事さんも、雛菜に嘘ついた罪
ちゃんと償ってくれます～？","형사 씨도, 히나나한테 거짓말한 죄
제대로 심판받을 거예요~?"
0000000000000,男,そ、それは…………！,"그, 그건…………!"
4901021460050,雛菜,"雛菜、欲しいものは全部欲しいから
宝石も、刑事さんも欲しかったけど","히나나, 갖고 싶은 건 다 가지고 싶으니까
보석도, 형사 씨도 가지고 싶었는데"
4901021460060,雛菜,"……刑事さんは、もういいや
ばいばい～","……형사 씨는 이제 됐어
바이바이~"
0000000000000,男,"…………！
ま、待て、雛菜──……！","…………!
기, 기다려, 히나나──……!"
info,special_communications/490102146.json,
번역자,,
